Nom;Enseigne;Raison sociale;SIRET;Adresse;Code postal;Localité;Code commune;Libellé commune;Date inspection;Coordonnées géographiques;Libellé établissement;Evaluation;departement
CHEZ YI YI;CHEZ YI YI;DELICES DE PONTHIEU;75394163200014;34 RUE DE PONTHIEU;75008;PARIS 8;75108;PARIS 8EME;2015-12-21;48.871116659, 2.3082988;SARL DELICES DE PONTHIEU;20;75
LA TOUR DES SOUHAITS;LA TOUR DES SOUHAITS;LA TOUR DES SOUHAITS;33204999800013;7 RUE DE LYON;75012;PARIS 12;75112;PARIS 12EME;2015-12-09;48.846444798, 2.372054961;LA TOUR DES SOUHAITS;20;75
LE LYS D'OR;LE LYS D'OR;PALACE BLEU;39103611800019;2 RUE CHALIGNY;75012;PARIS 12;75112;PARIS 12EME;2015-12-07;48.845194914, 2.383490928;PALACE BLEU;20;75
NOUVELLE AMITIE;NOUVELLE AMITIE;NOUVELLE AMITIE;48413896100012;90 RUE DE PICPUS;75012;PARIS 12;75112;PARIS 12EME;2015-12-28;48.84031859, 2.399533514;NOUVELLE AMITIE;20;75
DON DIEGO;DON DIEGO;FUNTIGOU;52182971300010;12 RUE ROTTEMBOURG;75012;PARIS 12;75112;PARIS 12EME;2015-12-17;48.837962751, 2.404956766;FUNTIGOU;20;75
PARIS NEW YORK;PARIS NEW YORK;RG HAUT MARAIS;80436719100017;1 RUE PERREE;75003;PARIS;75103;PARIS 3EME;2015-12-08;48.863874045, 2.362705862;RG HAUT MARAIS;20;75
LITHANG;;LITHANG;48396242900013;318 RUE SAINT JACQUES;75005;PARIS 5;75105;PARIS 5EME;2015-12-10;48.840329041, 2.340589872;LITHANG;20;75
RESTAURANT KATHMANDU;RESTAURANT KATHMANDU;KUMARI;48812817400023;22 RUE DES BOULANGERS;75005;PARIS 5;75105;PARIS 5EME;2015-12-17;48.845887053, 2.353156913;KUMARI;20;75
VITAMINE;VITAMINE;VITAMINE;49166806700011;103 RUE MOUFFETARD;75005;PARIS 5;75105;PARIS 5EME;2015-12-21;48.840931522, 2.349671467;VITAMINE;20;75
SOUS LES CERISIERS;;SOUS LES CERISIERS;50401590000021;12 RUE STANISLAS;75006;PARIS 6;75106;PARIS 6EME;2015-12-16;48.843873525, 2.3282588;SOUS LES CERISIERS;20;75
AU BOURGUIGNON DU MARAIS;AU BOURGUIGNON DU MARAIS;PHL RESTAURATION;48839575700013;19 RUE DE JOUY;75004;PARIS;75104;PARIS 4EME;2015-12-17;48.855354229, 2.357755648;PHL RESTAURATION;10;75
IL CAFFE;IL CAFFE;B M V;48945565900016;164 RUE DU FAUBOURG SAINT HONORE;75008;PARIS 8;75108;PARIS 8EME;2015-12-22;48.873455996, 2.309242859;BMV;30;75
BISTROT  LE REGENT;BISTROT  LE REGENT;GIRARD JEAN CLAUDE;35039454000024;7 RUE LA FEUILLADE;75001;PARIS 1;75101;PARIS 1ER;2015-12-18;48.865992998, 2.340072464;GIRARD JEAN-CLAUDE;20;75
LA FONTAINE D'ITALIE;LA FONTAINE D'ITALIE;SAINT MARI MINA;50096289900018;23 RUE MOLIERE;75001;PARIS 1;75101;PARIS 1ER;2015-12-14;48.865454505, 2.336391386;SAINT MARI MINA;20;75
HIGUMA;HIGUMA;SUSHI EUROPE;41840637700014;27 BOULEVARD DES ITALIENS;75002;PARIS;75102;PARIS 2EME;2015-12-29;48.871152595, 2.335364637;SUSHI EUROPE;30;75
YOKOSUNA;YOKOSUNA;JIN D'OR;51350822600018;2 RUE LEOPOLD BELLAN;75002;PARIS 2;75102;PARIS 2EME;2015-12-21;48.866407181, 2.346945082;JIN D'OR;20;75
PIZZERIA D'AUTEUIL;PIZZERIA D'AUTEUIL;PIZZERIA D'AUTEUIL;44355003300015;81 RUE JEAN DE LA FONTAINE;75016;PARIS;75116;PARIS 16EME;2015-12-08;48.848613621, 2.265621612;PIZZERIA D'AUTEUIL  LE PETIT MARGUERY;20;75
RESTAURANT LE 40;RESTAURANT LE 40;LA GRIGNOTTE DE LA BUTTE;53957805400022;40 AVENUE DE VERSAILLES;75016;PARIS;75116;PARIS 16EME;2015-12-11;48.849202902, 2.275427248;SAS LA GRIGNOTTE DE LA BUTTE;10;75
MAY DO;MAY DO;SUSHI MAYDO;81115799900012;3 RUE ERARD;75012;PARIS 12;75112;PARIS 12EME;2015-12-07;48.845205915, 2.384006319;SUSHI MAYDO (MAY DO);20;75
L'AUBERGE DE LA BUTTE;L'AUBERGE DE LA BUTTE;PELA;52300519700018;2 RUE JEAN MARIE JEGO;75013;PARIS 13;75113;PARIS 13EME;2015-12-29;48.828095143, 2.351716348;L'AUBERGE DE LA BUTTE;20;75
SAVEUR ASIA;SAVEUR ASIA;SAVEUR ASIA;52423513200015;71 BD VINCENT AURIOL;75013;PARIS 13;75113;PARIS 13EME;2015-12-07;48.834782946, 2.368118112;SAVEUR ASIA;20;75
TRISKELL;TRISKELL;TRISKELL;79757796200013;36 BD ARAGO;75013;PARIS 13;75113;PARIS 13EME;2015-12-16;48.835067319, 2.346227641;TRISKELL;10;75
TABLE DE CHINE;TABLE DE CHINE;AUX PARADIS DES SAVEURS;43409873700027;7 PL DE CATALOGNE;75014;PARIS 14;75114;PARIS 14EME;2015-12-10;48.83686788, 2.318211179;AUX PARADIS DES SAVEURS;20;75
CHEZ FELICIE;CHEZ FELICIE;SOC DE FAIT S.DESPLANCHES ET A.MOYNIEZ;43781890900016;174 AVENUE DU MAINE;75014;PARIS 14;75114;PARIS 14EME;2015-12-07;48.832476795, 2.324943318;CHEZ FELICIE;20;75
STARBUCKS COFFEE FRANCE;STARBUCKS COFFEE FRANCE;STARBUCKS COFFEE FRANCE;44533010300042;70 BD DU MONTPARNASSE;75014;PARIS 14;75114;PARIS 14EME;2015-12-16;48.843443024, 2.324951569;STARBUCKS COFFEE FRANCE;10;75
LES FILS DE LA FERME;LES FILS DE LA FERME;LES FILS DE LA FERME;47837388900011;5 RUE MOUTON DUVERNET;75014;PARIS 14;75114;PARIS 14EME;2015-12-11;48.83150285, 2.329242829;SARL LES FILS DE LA FERME;30;75
