Nom;Url
CHEZ YI YI;http://www.yelp.fr/biz/traiteur-chez-yi-yi-paris?start=0
LA TOUR DES SOUHAITS;http://www.yelp.fr/biz/la-tour-des-souhaits-paris?start=0
LE LYS D'OR;http://www.yelp.fr/biz/le-lys-d-or-paris?start=0
NOUVELLE AMITIE;http://www.yelp.fr/biz/la-nouvelle-amiti%C3%A9-traiteur-paris?start=0
DON DIEGO;http://www.yelp.fr/biz/don-diego-paris?start=0
PARIS NEW YORK;http://www.yelp.fr/biz/paris-new-york-paris-3?start=0
LITHANG;http://www.yelp.fr/biz/lithang-paris?start=0
RESTAURANT KATHMANDU;http://www.yelp.fr/biz/kathmandu-paris?start=0
VITAMINE;http://www.yelp.fr/biz/vitamine-paris?start=0
SOUS LES CERISIERS;http://www.yelp.fr/biz/sous-les-cerisiers-paris?start=0
AU BOURGUIGNON DU MARAIS;http://www.yelp.fr/biz/au-bourguignon-du-marais-paris?start=0
IL CAFFE;http://www.yelp.fr/biz/il-caffe-paris?start=0
LA FONTAINE D'ITALIE;http://www.yelp.fr/biz/la-fontaine-d-italie-paris?start=0
HIGUMA;http://www.yelp.fr/biz/higuma-paris-5?start=0
YOKOSUNA;http://www.yelp.fr/biz/yokosuna-paris?start=0
PIZZERIA D'AUTEUIL;http://www.yelp.fr/biz/pizzeria-d-auteuil-paris?start=0
RESTAURANT LE 40;http://www.yelp.fr/biz/le-40-paris?start=0
MAY DO;http://www.yelp.fr/biz/mai-do-paris?start=0
L'AUBERGE DE LA BUTTE;http://www.yelp.fr/biz/l-auberge-de-la-butte-paris?start=0
SAVEUR ASIA;http://www.yelp.fr/biz/saveur-asia-paris?start=0
TRISKELL;http://www.yelp.fr/biz/le-triskell-thiais?start=0
TABLE DE CHINE;http://www.yelp.fr/biz/la-table-de-chine-paris?start=0
CHEZ FELICIE;http://www.yelp.fr/biz/chez-f%C3%A9licie-paris-2?start=0
STARBUCKS COFFEE FRANCE;http://www.yelp.fr/biz/starbucks-coffee-france-les-halles-paris?start=0
LES FILS DE LA FERME;http://www.yelp.fr/biz/les-fils-de-la-ferme-paris?start=0
LE JEU DE QUILLES;http://www.yelp.fr/biz/le-jeu-de-quilles-paris?start=0
LES CEDRES DU LIBAN;http://www.yelp.fr/biz/les-c%C3%A8dres-du-liban-paris-2?start=0
CHEZ ALAIN;http://www.yelp.fr/biz/chez-alain-miam-miam-paris?start=0
LE SEBASTO;http://www.yelp.fr/biz/sebasto-auto-radio-paris?start=0
CHEZ JENNY;http://www.yelp.fr/biz/brasserie-alsacienne-chez-jenny-paris?start=0
WAN XING;http://www.yelp.fr/biz/wan-xing-paris?start=0
RESTAURANT LES FABLES;http://www.yelp.fr/biz/les-fables-de-la-fontaine-paris?start=0
RESTAURANT DU LYCEE;http://www.yelp.fr/biz/le-bar-du-lyc%C3%A9e-paris-2?start=0
Mc Donald's;http://www.yelp.fr/biz/mcdonalds-avignon?start=0
La Sperlongaise;http://www.yelp.fr/biz/la-sperlongaise-avignon?start=0
L'escargot;http://www.yelp.fr/biz/h%C3%B4tel-restaurant-l-escargot-avignon?start=0
La Bonne Barquette;http://www.yelp.fr/biz/pizzas-chez-tony-tarascon?start=0
Kyriad Cap Sud;http://www.yelp.fr/biz/kyriad-cap-sud-montfavet?start=0
Café Les Négociants;http://www.yelp.fr/biz/caf%C3%A9-des-n%C3%A9gociants-montfavet-2?start=0
