;Unnamed: 0;dossier;arrondissement;adresse;lieu;libelle_type_objet;dima;dimb;dosred;Coordonnées;surface;libelle;nom
0;1;793 937 125 003;75020;Pan coupé 125 AVENUE GAMBETTA / 120 RUE ORFILA;A;TERRASSE OUVERTE;2.67;4.26;SARL LA POINTE AUX PIMENTS  (RESTAURANT);48.868115, 2.40109;11.3742;RESTAURANT;SARL LA POINTE AUX PIMENTS  
1;2;793 939 002 002;75020;202 RUE DES PYRENEES;B;TERRASSE FERMEE;1.3;12.05;SNC INDIANA GAMBETTA  (RESTAURANT);48.864386, 2.39905;15.665;RESTAURANT;SNC INDIANA GAMBETTA  
2;3;793 939 007 003;75020;7 PLACE GAMBETTA;A;TERRASSE OUVERTE;0.6;8.2;SA MC DONALD S FRANCE  (RESTAURATION RAPIDE - SNACK);48.864778, 2.397904;4.92;RESTAURATION RAPIDE - SNACK;SA MC DONALD S FRANCE  
3;7;796 062 004 003;75020;4 PLACE MARTIN NADAUD;A;TERRASSE FERMEE;1.3;7.8;SARL MATI NADAUD  (BAR RESTAURANT);48.865145, 2.394757;10.14;BAR RESTAURANT;SARL MATI NADAUD  
4;8;796 183 028 003;75020;28 BOULEVARD DE MENILMONTANT;A;TERRASSE OUVERTE;0.6;8.3;SARL OBODODO  (BAR RESTAURANT);48.859491, 2.389397;4.98;BAR RESTAURANT;SARL OBODODO  
5;10;796 183 044 003;75020;44 BOULEVARD DE MENILMONTANT;A;TERRASSE OUVERTE;0.9;4.6;SARL MENIL 44  (RESTAURANT);48.863292, 2.387206;4.14;RESTAURANT;SARL MENIL 44  
6;11;796 183 054 007;75020;54 BOULEVARD DE MENILMONTANT;A;TERRASSE OUVERTE;1.0;4.2;SARL FEROSUSHI  (RESTAURATION RAPIDE - SNACK);48.863489, 2.387218;4.2;RESTAURATION RAPIDE - SNACK;SARL FEROSUSHI  
7;15;796 183 108 002;75020;108 BOULEVARD DE MENILMONTANT;A;TERRASSE OUVERTE;1.5;5.9;M HADJEM  (RESTAURANT);48.865448, 2.384979;8.85;RESTAURANT;M HADJEM  
8;17;796 187 108 002;75020;;A;;1.3;4.6;MME COSTA  (RESTAURANT);;5.98;RESTAURANT;MME COSTA  
9;18;796 850 037 004;75020;37 RUE ORFILA;A;TERRASSE OUVERTE;1.1;3.8;SARL MANOU  (RESTAURANT);48.86657, 2.396777;4.18;RESTAURANT;SARL MANOU  
10;21;797 212 004 002;75020;4 AVENUE DU PERE LACHAISE;A;TERRASSE OUVERTE;1.18;5.7;SARL LE RAMUS  (RESTAURANT);48.863589, 2.397506;6.726;RESTAURANT;SARL LE RAMUS  
11;38;799 309 033 003;75020;Pan coupé 33 RUE TLEMCEN / 65 RUE DES AMANDIERS;B;TERRASSE OUVERTE;0.6;0.9;SAS LES AMANDIERS CAPPUCINO RESTAURANT  (BAR - CAFE - PUB);48.864056, 2.389127;0.54;BAR - CAFE - PUB;SAS LES AMANDIERS CAPPUCINO RESTAURANT  
12;52;800 587 097 002;75020;67 RUE DES PYRENEES;B;TERRASSE FERMEE;1.25;13.1;SARL MUGET  (BAR RESTAURANT);48.852775, 2.406042;16.375;BAR RESTAURANT;SARL MUGET  
13;53;800 587 105 002;75020;;A;;1.0;7.5;SARL SMAIL SARL  (RESTAURANT);;7.5;RESTAURANT;SARL SMAIL SARL  
14;54;800 587 116 004;75020;116 RUE D AVRON;A;TERRASSE OUVERTE;0.6;3.5;SARL BENJAMIN BINGOL  (RESTAURANT);48.852822, 2.407364;2.1;RESTAURANT;SARL BENJAMIN BINGOL  
15;57;800 587 144 005;75020;144 RUE D AVRON;A;TERRASSE OUVERTE;1.2;5.2;SARL ELIF  (RESTAURATION RAPIDE - SNACK);48.853248, 2.409742;6.24;RESTAURATION RAPIDE - SNACK;SARL ELIF  
16;58;800 587 145 002;75020;145 RUE D AVRON;A;TERRASSE FERMEE;1.2;5.7;SARL GAZI  (RESTAURATION RAPIDE - SNACK);48.853487, 2.410054;6.84;RESTAURATION RAPIDE - SNACK;SARL GAZI  
17;60;800 612 022 005;75020;22 RUE DE BAGNOLET;A;TERRASSE OUVERTE;1.1;6.0;EURL WANOBI  (RESTAURATION RAPIDE - SNACK);48.856712, 2.396607;6.6;RESTAURATION RAPIDE - SNACK;EURL WANOBI  
