;id;capital;date creation;forme juridique;nombre etabl;page;siret;url
0;0;8 000;09/2012;Société à responsabilité limitée (sans autre indication);1;0;75394163200014;http://www.bilansgratuits.fr/entreprise/fiche/75394163200014.htm
1;1;152 449,02;03/1985;Société à responsabilité limitée (sans autre indication);1;1;33204999800013;http://www.bilansgratuits.fr/entreprise/fiche/33204999800013.htm
2;2;7 622,45;05/1993;Société à responsabilité limitée (sans autre indication);2;2;39103611800019;http://www.bilansgratuits.fr/entreprise/fiche/39103611800019.htm
3;3;7 000;08/2005;Société à responsabilité limitée (sans autre indication);1;3;48413896100012;http://www.bilansgratuits.fr/entreprise/fiche/48413896100012.htm
4;4;8 000;04/2010;Société à responsabilité limitée (sans autre indication);1;4;52182971300010;http://www.bilansgratuits.fr/entreprise/fiche/52182971300010.htm
5;5;100 000;09/2014;Société par actions simplifiées associé unique ou société par actions simplifiées unipersonnelle;1;5;80436719100017;http://www.bilansgratuits.fr/entreprise/fiche/80436719100017.htm
6;6;8 000;09/2005;Société à responsabilité limitée (sans autre indication);1;6;48396242900013;http://www.bilansgratuits.fr/entreprise/fiche/48396242900013.htm
7;7;40 500;01/2006;Société à responsabilité limitée (sans autre indication);1;7;48812817400023;http://www.bilansgratuits.fr/entreprise/fiche/48812817400023.htm
8;8;8 000;07/2006;Société à responsabilité limitée (sans autre indication);1;8;49166806700011;http://www.bilansgratuits.fr/entreprise/fiche/49166806700011.htm
9;9;15 000;04/2008;Société à responsabilité limitée (sans autre indication);1;9;50401590000021;http://www.bilansgratuits.fr/entreprise/fiche/50401590000021.htm
10;10;8 000;01/2006;Société par actions simplifiées associé unique ou société par actions simplifiées unipersonnelle;1;10;48839575700013;http://www.bilansgratuits.fr/entreprise/fiche/48839575700013.htm
11;11;7 500;03/2006;Société à responsabilité limitée (sans autre indication);1;11;48945565900016;http://www.bilansgratuits.fr/entreprise/fiche/48945565900016.htm
12;12;0.0;03/1989;Commerçant;1;12;35039454000024;http://www.bilansgratuits.fr/entreprise/fiche/35039454000024.htm
13;13;1 200;01/2008;Société à responsabilité limitée (sans autre indication);2;13;50096289900018;http://www.bilansgratuits.fr/entreprise/fiche/50096289900018.htm
14;14;243 918,44;07/1998;Société à responsabilité limitée (sans autre indication);1;14;41840637700014;http://www.bilansgratuits.fr/entreprise/fiche/41840637700014.htm
15;15;8 000;07/2009;Société à responsabilité limitée (sans autre indication);1;15;51350822600018;http://www.bilansgratuits.fr/entreprise/fiche/51350822600018.htm
16;16;7 500;09/2002;Société à responsabilité limitée (sans autre indication);1;16;44355003300015;http://www.bilansgratuits.fr/entreprise/fiche/44355003300015.htm
17;17;225 000;01/2012;Société par actions simplifiée (SAS);1;17;53957805400022;http://www.bilansgratuits.fr/entreprise/fiche/53957805400022.htm
18;18;8 000;04/2015;Société à responsabilité limitée (sans autre indication);1;18;81115799900012;http://www.bilansgratuits.fr/entreprise/fiche/81115799900012.htm
19;19;1 000;05/2010;Société à responsabilité limitée (sans autre indication);1;19;52300519700018;http://www.bilansgratuits.fr/entreprise/fiche/52300519700018.htm
20;20;8 000;09/2010;Société à responsabilité limitée (sans autre indication);1;20;52423513200015;http://www.bilansgratuits.fr/entreprise/fiche/52423513200015.htm
21;21;10 200;12/2013;Société à responsabilité limitée (sans autre indication);1;21;79757796200013;http://www.bilansgratuits.fr/entreprise/fiche/79757796200013.htm
22;22;8 000;01/2001;Société à responsabilité limitée (sans autre indication);1;22;43409873700027;http://www.bilansgratuits.fr/entreprise/fiche/43409873700027.htm
23;23;0.0;05/2001;Société créée de fait entre personnes physiques;1;23;43781890900016;http://www.bilansgratuits.fr/entreprise/fiche/43781890900016.htm
24;24;89 060 000;02/2003;Société par actions simplifiées associé unique ou société par actions simplifiées unipersonnelle;78;24;44533010300042;http://www.bilansgratuits.fr/entreprise/fiche/44533010300042.htm
25;25;8 000;08/2004;Société à responsabilité limitée (sans autre indication);1;25;47837388900011;http://www.bilansgratuits.fr/entreprise/fiche/47837388900011.htm
26;26;8 000;04/2008;Société par actions simplifiée (SAS);1;26;50322699500010;http://www.bilansgratuits.fr/entreprise/fiche/50322699500010.htm
27;27;7 622,45;01/1973;Société à responsabilité limitée (sans autre indication);1;27;30430551900015;http://www.bilansgratuits.fr/entreprise/fiche/30430551900015.htm
28;28;8 000;07/2014;Société par actions simplifiées associé unique ou société par actions simplifiées unipersonnelle;1;28;80332494600018;http://www.bilansgratuits.fr/entreprise/fiche/80332494600018.htm
29;29;1 600;11/2003;Société à responsabilité limitée (sans autre indication);1;29;45096515700016;http://www.bilansgratuits.fr/entreprise/fiche/45096515700016.htm
30;30;10 000;12/2011;Société en nom collectif;1;30;53869125400014;http://www.bilansgratuits.fr/entreprise/fiche/53869125400014.htm
31;31;988 125;01/1955;Société par actions simplifiée (SAS);3;31;55211316900015;http://www.bilansgratuits.fr/entreprise/fiche/55211316900015.htm
32;32;8 000;04/2012;Société à responsabilité limitée (sans autre indication);1;32;75105574000011;http://www.bilansgratuits.fr/entreprise/fiche/75105574000011.htm
33;33;10 000;10/2012;Société en nom collectif;1;33;78926670700023;http://www.bilansgratuits.fr/entreprise/fiche/78926670700023.htm
34;34;30 000;11/2014;Société à responsabilité limitée (sans autre indication);1;34;80797279900017;http://www.bilansgratuits.fr/entreprise/fiche/80797279900017.htm
35;35;7 622,45;10/1998;Société à responsabilité limitée (sans autre indication);1;35;42070464500019;http://www.bilansgratuits.fr/entreprise/fiche/42070464500019.htm
36;36;4 350 000;01/1979;Autre SA à conseil d'administration;33;36;31757671800793;http://www.bilansgratuits.fr/entreprise/fiche/31757671800793.htm
37;37;38 112;03/1986;Société à responsabilité limitée (sans autre indication);1;37;33525917200013;http://www.bilansgratuits.fr/entreprise/fiche/33525917200013.htm
38;38;7 622,45;04/1987;Société à responsabilité limitée (sans autre indication);1;38;34091505700012;http://www.bilansgratuits.fr/entreprise/fiche/34091505700012.htm
39;39;0.0;08/1988;Commerçant;1;39;34778888700037;http://www.bilansgratuits.fr/entreprise/fiche/34778888700037.htm
40;40;0.0;03/1995;Commerçant;1;40;40004610800033;http://www.bilansgratuits.fr/entreprise/fiche/40004610800033.htm
